Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,43.30938909,44.86504938,46.25965215,48.09271077,50.86759761,53.72374192,55.77724337,58.73361244,62.42676752,64.53419375,66.63767703,69.10609502,73.66222566,75.27547308,76.05540286,73.89885008,77.17603362,79.52916654,81.76386431,85.90724587,88.90055172,93.49394808,97.47907993,99.13942204,97.92654386,101.8491622,102.0365979,100,103.9588974,111.060628,109.9469123,106.4526161,110.1380371,116.7659416,115.6549452,109.9732515,113.4454143,121.0569904
Africa Eastern and Southern,AFE,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.93996101,35.23721591,37.39567933,41.75423484,46.46053505,51.53066803,55.24074797,67.685249,69.10412726,67.60912551,70.18816371,81.83472908,87.8101017,92.04499454,92.56683861,94.8324703,92.74850167,94.97785677,96.94517925,103.2674396,110.4578959,113.5937914,124.2786953,127.9593997
Africa Western and Central,AFW,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,4.29E-08,4.20E-08,4.20E-08,4.20E-08,4.20E-08,5.00E-08,4.55E-08,4.99E-08,5.10E-08,5.93E-08,6.77E-08,1.40E-07,8.05E-07,8.19E-06,0.000186402,0.00358917,0.175888394,0.343779182,0.479088428,3.150011749,16.31765909,33.67183637,100,193.9265669,258.7825821,368.4397585,431.5006739,450.0915879,537.2553056,447.1998176,591.5132966,779.4457079,836.0003392,859.7404425,890.354809,859.0286959,1046.075628,1282.640547,1643.923107,1959.342696,2170.228813,3012.792411,3425.864147,4029.485573
Albania,ALB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,2.709732104,2.651755435,2.651285568,2.65084134,2.650089555,2.659397262,2.59511164,2.595103697,2.595088682,2.59518416,2.583989344,3.501673702,11.66003623,26.31096669,35.7414684,39.30512966,54.30870662,60.41281217,64.47911392,65.83501296,69.55302653,72.20359317,74.8372021,78.72771531,81.20950334,83.89495394,85.97402936,89.74546017,93.44035744,95.70005929,100,102.3147438,103.3815946,103.6801048,105.2870604,105.8808703,105.2110114,106.7373407,109.9037292,111.0034158,111.0489994,114.8739698,126.2023515,133.8578486
Andorra,AND,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,4.331394991,4.671230655,5.06912971,5.66979288,6.573852774,7.677063297,8.943000072,11.03415006,13.31061012,15.56432124,17.64290737,19.82201341,22.51430861,25.18996202,27.92678449,30.32722113,33.62646347,35.62528732,37.7400489,40.34268084,43.29828396,46.30108418,49.40824297,51.65000965,53.65395685,56.30077149,56.7495887,58.01406051,58.88401258,60.49271175,77.8792565,80.27835439,82.87899719,85.51246424,88.11411598,91.10656134,94.25628289,97.28306641,99.49561247,99.62708212,100,100.1967642,100.3716645,100.8218236,100.7371138,101.4025721,101.7552455,102.9117034,103.9536622,105.3827689,106.5565075,109.28314,113.9130867,121.0845999
Arab World,ARB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,6.169472109,6.169472109,6.169472109,9.516585139,22.67454813,26.98291997,30.15997837,31.74511327,30.58288928,32.73929509,35.85475856,38.38412676,38.88805996,37.48108326,35.1956865,35.45632214,34.85410172,36.1386792,36.99915767,37.64711527,38.90298557,39.21842993,39.92703877,40.43732082,40.331183,41.90711581,44.326432,43.90431107,42.03642617,45.5857203,50.80963223,49.61595764,51.4868958,53.58365164,58.13902402,67.74725758,75.85128567,85.35845598,101.17824,85.81636818,100,113.1672194,118.4631342,117.3385336,116.5546543,97.59470167,92.19822352,96.79542346,104.4778323,101.1403826,88.97187441,101.2889364,114.0816214,112.5937687
Argentina,ARG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,7.19E-11,8.65E-11,1.11E-10,1.40E-10,1.80E-10,2.19E-10,2.74E-10,3.54E-10,3.91E-10,4.21E-10,4.48E-10,5.88E-10,9.66E-10,1.60E-09,2.09E-09,6.22E-09,3.35E-08,8.69E-08,2.27E-07,5.62E-07,1.10E-06,2.26E-06,6.65E-06,3.19E-05,0.00022708,0.001606471,0.002848149,0.006480676,0.031188016,0.981203426,21.37371925,51.40430321,59.66599949,57.54123623,59.18078152,61.05392628,61.02194898,60.73886015,59.70309274,58.60661058,59.21452939,58.5656757,76.46053741,84.48560835,99.9999999,110.3175111,125.4762982,144.2223631,177.6403647,204.9572772,247.8243464,306.5673214,374.9774534,464.7800478,652.0072626,825.3107382,1164.673397,1467.562778,2084.433257,3109.882269,4356.419109,6700.263541,11382.14534,26790.02758
